classe,pergunta
1,Eficiência de Gestão
1.1,"Numa escala de 01 a 5 informe se você possui todos os indicadores gerenciais para a perspectiva que sua empresa precisa ter e se a gestão são orientadas e medidas por estes indicadores, com metas definidas e claras e com cobrança de resultados?"
1.2,"Considerando um ambiente controlavel de gestão, quantas vezes os executivos da empresa se reunem para discutir a avaliar os números considere 01 menos de 1 vez ao semestre, 2 pelo menos 1 vez ao trimestre, 3 pelo menos 1 vez ao bimestre, 4 pelo menos 1 vez ao mês, 5 Semanalmente."
1.3,Numa escala de 01 a 5 indique o quanto de confiabilidade vc possui quanto a apuração da LUCRATIVIDADE/ EBITDA/ MG EBITDA/MARK-UP/ INDICES DE LIQUIDEZ/NÍVEL DE ENDIVIDAMENTO/MARGEM BRUTA/LÍQUIDA/E RETORNO SOBRE O PATRIMÔNIO?
1.4,Numa escala de 01 a 5 indique o quanto você sabe sobre o aumento ou diminuição da geração de Caixa e Ebitda to Cash
1.5,Numa escala de 01 a 05 informe o quanto você estima conhecer sobre o valor do aumento ou diminuição do CAPEX sobre o Ebitda
1.6,Numa escala de 01 a 5 informe o quanto você confia na informação sobre a geração de caixa períódica da sua empresa
1.7,Numa escala de 01 a 5 informe o grau de confiança quanto aos indicadores de acuracidade de estoques e assertividade dos produtos.
1.8,Numa escala de 01 a 5 informe o grau de confiança quanto aos indicadores de Giro dos Estoques de matéria-prima e produtos acabados.
1.9,"Num grau de 01 a 5 indique o quanto de confiança no ""Saving"" (Mostra quanto a empresa conseguiu economizar. Isso é feito por meio da comparação do que foi orçado e o que foi comprado. Dessa forma, é possível saber quanto de lucro direto foi gerado e qual é a eficácia do setor)."
1.10,"Num grau de confiança de 01 a 5 informe o quanto a empresa dispõem de conhecimento sobre a ""Evolução dos Preços"" dos principais insumos, a fim de prever sazonalidades e picos de elevação de preços."
1.11,"Com relação aos Custos de Suprimento, informe num grau de 01 a 5 o quanto a empresa consegue demonstrar qual foi Percentual de Custos em Relação as Vendas e a Percentagem de Vendas que foi aplicado em Suprimentos"
1.12,Numa escala de 01 a 5 indique o quanto a empresa consegue estimar a capacidade instalada x a capacidade real (aplicada) da força de trabalho.
1.13,Com base em seu conhecimento informe o grau de confiança com que você consegue estimar a sua participação de mercado utilize de 01 a 5 para informar.
1.14,"Com base nos relatórios comerciais da administração de vendas, informe entre 01 a 5 o grau de confiança que você possui quanto a apuração do preço médio de vendas."
1.15,"Com base na carteira de pedidos e no histórico de vendas, informe o grau de confiança que você possui quanto a apuração do cliclo vendas."
1.16,"Com base nos controles hitóricos de vendas, informe qual é confiabilidade da taxa de ""Churn"" (taxa de perda de clientes) utilize 01 a 5 para informar."
1.17,"Com base no relatório de vendas, informe de 01 a 5 o grau de precisão que você acredita ter quanto ao valor demonstrado no período do Tickt Médio de Vendas?"
1.18,"Com base no relatório de cobranças, informe de 01 a 5 o grau de precisão que você acredita ter quanto ao valor médio e o percentual demonstrado no período da inadimplência da sua empresa."
